(0, -18.040449438202106, -0.18040449438202108)
(1, -24.785459940652796, -0.42645504884472885)
(2, -17.804081632652775, -0.6002313146828093)
(3, -17.89926199261982, -0.7732216214621794)
(4, -23.899999999999793, -1.0044894052475555)
(5, -21.387179487179374, -1.2083163060668736)
(6, -17.954716981131842, -1.3757803128175232)
(7, -17.932432432432233, -1.5413468340136702)
(8, -18.09363295880131, -1.7068696952615465)
(9, -20.64946619217074, -1.8962956602306384)
(10, -18.07692307692301, -2.058101934397562)
(11, -18.071641791044506, -2.2182373329640317)
(12, -17.894871794871655, -2.375003677583108)
(13, -20.973356401383896, -2.560987204821116)
(14, -22.97499999999993, -2.765127332772904)
(15, -17.906463878326754, -2.9165406982284425)
(16, -16.908922558922377, -3.0564645168353817)
(17, -26.983333333333384, -3.295733205000362)
(18, -17.943749999999255, -3.442213372950351)
(19, -21.04754098360647, -3.618266649056912)
(20, -18.085815602836707, -3.7629421385947097)
(21, -17.906463878326573, -3.9043773559920285)
(22, -18.06062717770031, -4.045939854209111)
(23, -18.207692307692216, -4.187557378743942)
(24, -35.54733893557534, -4.501155194312256)
(25, -17.984520123838916, -4.635988843607522)
(26, -19.80734824281143, -4.7877024375995605)
(27, -17.91578947368417, -4.918983307960406)
(28, -17.937931034482627, -5.049172785225629)
(29, -18.299999999999883, -5.181681057373371)
(30, -17.83117408906856, -5.308175987690323)
(31, -18.09411764705859, -5.436035404284005)
(32, -24.62101910828026, -5.627885241323967)
(33, -17.829770992366168, -5.7499040988343895)
(34, -18.02140468227412, -5.872619104668787)
(35, -17.954054054053977, -5.993433454162639)
(36, -17.975432525951497, -6.113253444880527)
(37, -18.008029197080102, -6.232201202402523)
(38, -18.59256965944263, -6.3558048869729245)
(39, 8.433812949639819, -6.207908708606797)
(40, -23.733333333333324, -6.383162954854062)
(41, -18.093617021276508, -6.500267495518286)
(42, -17.83020134228174, -6.61356683398592)
(43, -17.999999999999943, -6.727431165646061)
(44, -17.93636363636344, -6.839520490353234)
(45, -18.09926199261978, -6.9521179053759)
(46, 11.928358208955336, -6.763313144232587)
(47, -28.611235955056237, -6.9817923723408235)
(48, -18.055017301037903, -7.092524621627794)
(49, -17.857553956834305, -7.200174914979859)
(50, -18.007299270072735, -7.308246158530787)
(51, -17.998901098900802, -7.415152707934487)
(52, -17.907017543859585, -7.520071356293737)
(53, -17.81428571428563, -7.6230134998736565)
(54, -17.82926829268269, -7.725076047801747)
(55, -17.955555555555357, -7.827380842879283)
(56, -18.35481727574747, -7.932655207207965)
(57, -18.018181818181738, -8.033510473317703)
(58, -17.906849315068357, -8.132243861735208)
(59, -18.040129449837966, -8.231322717616235)
(60, -45.558823529413196, -8.604597725734203)
(61, -17.94494773519156, -8.698001225828778)
(62, -18.06569343065836, -8.791678147877073)
(63, -18.032686084142362, -8.884088227239726)
(64, 27.23198380566638, -8.522927506910666)
(65, -17.96412213740431, -8.617339453215601)
(66, -18.065886287625283, -8.711824921559698)
(67, -17.832558139534658, -8.803032253739447)
(68, -6.368518518518241, -8.778687116387236)
(69, 11.441176470588147, -8.576488480517481)
(70, -17.997435897435818, -8.670697954686664)
(71, 17.4810810810805, -8.409180164328994)
(72, -18.003581267217623, -8.505124175357881)
(73, -18.006849315068422, -8.600141426754988)
(74, -17.971477663230118, -8.693854789119738)
(75, -18.021052631578826, -8.78712676754433)
(76, -18.03333333333323, -8.879588833202218)
(77, -18.083333333333105, -8.971626278203527)
(78, -17.982191780821726, -9.061731933229709)
(79, -18.07021276595724, -9.151816741556983)
(80, -17.807348242811408, -9.238372056569528)
(81, -17.93333333333324, -9.325321669337164)
(82, -18.08333333333308, -9.412901785977123)
(83, -17.87560975609739, -9.497528865678326)
(84, -17.868707482993084, -9.581240651851473)
(85, -17.978714859437467, -9.665215393927333)
(86, 17.99613899613804, -9.38860185002668)
(87, -18.093069306930634, -9.475646524595719)
(88, -17.88219178082184, -9.55971197715798)
(89, -18.031561461793846, -9.64443047200434)
(90, -18.017421602787422, -9.72816038331217)
(91, -18.07058823529389, -9.811584661831988)
(92, -17.962264150943206, -9.8930914567231)
(93, -17.956164383561426, -9.973722185991482)
(94, 18.933195020746535, -9.684653013924102)
(95, -17.89999999999988, -9.76680648378486)
(96, -18.07147766323, -9.84985319557931)
(97, -17.99999999999976, -9.931354663623516)
(98, -17.92622950819667, -10.011303412069248)
(99, -17.96578073089692, -10.090848185257524)
(100, 19.175193798448607, -9.798187765420462)
(101, 14.836781609195274, -9.551838071674304)
(102, 17.614285714285014, -9.28017683381471)
(103, -15.525884244372733, -9.342633907920291)
(104, -17.908029197080033, -9.428287860811889)
(105, -18.07254901960763, -9.514730472399846)
(106, -18.061904761904525, -9.600202215294892)
(107, -10.604545454545242, -9.610245647687396)
(108, -13.799809885931358, -9.652141290069835)
(109, -18.08434163701044, -9.736463293539241)
(110, -17.98581560283662, -9.818956816632216)
(111, -17.947058823529233, -9.900237836701185)
(112, -17.908860759493642, -9.98032406592911)
(113, -17.91976047904185, -10.059718430060238)
(114, -18.092307692307497, -10.140044322682712)
(115, -17.83308550185847, -10.21697473447447)
(116, -17.974834437085878, -10.294553331500584)
(117, -17.986206896551632, -10.371469867151093)
(118, 22.853790613717734, -10.039217262342405)
(119, -17.913559322033812, -10.117960682939318)
(120, 8.866192170818447, -9.92811915440174)
(121, -17.971428571428383, -10.008552248572006)
(122, -17.99999999999972, -10.088466726086283)
(123, -18.00849673202593, -10.16766702614568)
(124, -17.966903914590496, -10.245659395030128)
(125, -17.834482758620638, -10.321547628666034)
(126, -18.00793650793647, -10.398411517458738)
(127, -17.976923076922816, -10.47419663305338)
(128, -18.04210526315769, -10.549875719354421)
(129, -17.98819875776387, -10.624258949738516)
(130, -17.990445859872437, -10.697920818839854)
(131, -17.913043478260633, -10.770072045434063)
(132, -18.011326860841226, -10.842484593588134)
(133, -17.90407523510951, -10.913100500003349)
(134, -17.95394321766541, -10.983508927179969)
(135, -18.05244755244737, -11.054198313432643)
(136, 22.399999999998933, -10.719656330298326)
(137, -18.083453237409937, -10.793294299369443)
(138, 10.082352941175898, -10.58453782696399)
(139, -18.053354632587606, -10.659225995020225)
(140, -17.802588996763703, -10.73065962503766)
(141, -18.05633802816876, -10.803916409068972)
(142, -17.825748502993928, -10.874134730008223)
(143, -17.99999999999983, -10.945393382708138)
(144, -17.91036789297638, -11.01504312781082)
(145, -17.939344262294735, -11.08428613915566)
(146, -17.999999999999943, -11.153443277764103)
(147, -18.084818481848018, -11.22275702980494)
(148, -17.99609120521151, -11.290490371559006)
(149, -17.930201342281766, -11.356887481266234)
(150, -18.033564013841136, -11.423654246591983)
(151, -17.852802359881874, -11.487945727724883)
(152, -17.932441471571803, -11.552390685163353)
(153, -17.854838709677278, -11.615415165408493)
(154, -17.999261992619672, -11.679253633680604)
(155, 8.766666666666046, -11.474794430677138)
(156, -18.049466192170534, -11.540541148292071)
(157, -18.082539682539647, -11.605961133634546)
(158, -18.036231884057717, -11.670263841138778)
(159, -17.974999999999863, -11.73331120272739)
(160, -17.9536082474225, -11.795514173174341)
(161, 9.623076923076468, -11.581328262211834)
(162, -18.008185053380515, -11.64559683012352)
(163, -17.96894586894581, -11.708830320511742)
(164, -17.935051546391502, -11.77109253277054)
(165, -17.985714285713843, -11.833238750299973)
(166, -17.976923076922805, -11.894675593566202)
(167, -17.99411764705866, -11.955670014101127)
(168, -18.00306513409936, -12.01614396530111)
(169, 9.297003745318314, -11.803012488194916)
(170, -17.97341772151881, -11.864716540528155)
(171, -17.91044776119375, -11.925173852734812)
(172, -19.15519125683059, -11.99747402677577)
(173, -17.905109489050933, -12.056550381398521)
(174, -18.07837837837822, -12.116768661368319)
(175, -18.081690140844657, -12.176417876163082)
(176, -17.912460063897583, -12.233778298040429)
(177, -17.920467836257195, -12.290645193422597)
(178, -17.970068027210637, -12.347439421760477)
(179, -17.991318327974057, -12.403878210822613)
(180, -18.04776119403028, -12.46031704065469)
(181, -17.96308724832195, -12.515344742731363)
(182, 9.592700729926944, -12.29426428800478)
(183, -17.92562277580047, -12.350577872882736)
(184, -18.07543252595171, -12.407826419413427)
(185, -18.082191780821674, -12.46457007302751)
(186, -18.05755395683428, -12.520499911865578)
(187, -18.017647058823336, -12.575471383335154)
(188, 8.329692832764545, -12.366419741174157)
(189, -18.078014184396928, -12.423535685606385)
(190, -18.023529411764486, -12.479535622867967)
(191, 10.603559870549677, -12.248704667933792)
(192, -18.084894259818547, -12.30706656385264)
(193, -17.872549019607817, -12.362721388410192)
(194, 12.319869706839915, -12.11589547745769)
(195, -18.09505300353359, -12.175687052718448)
(196, -17.87222222222202, -12.232652404413484)
(197, -17.982051282051128, -12.29014639318986)
(198, 13.132653061224042, -12.035918398645721)
(199, 50.4919028340068, -11.410640186319197)
(200, -18.05302013422799, -11.477063985798287)
(201, -18.028571428571272, -11.542579060226016)
(202, -15.916666666666346, -11.586319936290419)
(203, 11.652671755724896, -11.353930019370265)
(204, -18.083333333333155, -11.421224052509896)
(205, 12.85294117647031, -11.178482400220094)
(206, -17.874834437085884, -11.245445920588752)
(207, -17.908517350157513, -11.31207663488444)
(208, -4.468518518518279, -11.243641053720777)
(209, -18.024390243902264, -11.311448545622591)
(210, -18.063636363636068, -11.378970423802725)
